Country,Year,GDP,Population,Urban_Population,Electricity_Access,Urban_Electricity_Acess,Brightness,UPC,EAC,BC,int_B_UP,int_B_EA,int_UP_EA,int_ALL
Banglade,2020,26.64746667,18.92929207,17.96635514,4.576770711,4.593097605,12.55407713,2.350640140000001,0.18485471099999984,0.33763212999999936,0.7936516373316971,0.06241288981546426,0.4345269037446994,0.14671024405362756
Banglade,2021,26.75460388,18.93744185,17.99444774,4.605170186,4.6121458,12.6650175,2.3787327399999985,0.21325418599999946,0.44857249999999915,1.0670340920136472,0.09565996334948458,0.507274714180248,0.2275494867266189
Banglade,2022,26.85477857,18.94768419,18.02414223,4.609162207,4.615120517,12.70988678,2.408427229999999,0.21724620699999964,0.4934417799999995,1.1884186193716677,0.10719835508032817,0.5232216805530155,0.2581794373866711
Banglade,2023,26.80414899,18.95990133,18.05536624,4.610157727,4.610157727,12.75503835,2.4396512400000017,0.21824172699999966,0.5385933499999993,1.3139799341832532,0.11754354285471512,0.532433699895291,0.28676525007949905
Belarus,2019,24.88853664,16.05832006,15.82315463,4.615120517,4.615120517,12.7606102,0.20743962999999965,0.2232045170000001,0.5441652000000001,0.11288142774687583,0.12146013063420849,0.04630146242080865,0.02519564455851183
Belarus,2020,24.84021556,16.05408531,15.82445828,4.615120517,4.615120517,12.69445786,0.2087432800000002,0.2232045170000001,0.47801285999999976,0.09978197227858085,0.10669462953608862,0.04659244298939583,0.022271786927748036
Belarus,2021,24.96708943,16.04580298,15.82153387,4.615120517,4.615120517,13.05489223,0.20581886999999988,0.2232045170000001,0.8384472299999999,0.17256826143322998,0.18714520900213796,0.04593970146783578,0.03851801544273384
Belarus,2022,25.0242882,16.0377607,15.81868385,4.615120517,4.615120517,12.99361908,0.20296884999999953,0.2232045170000001,0.77717408,0.15774212926740763,0.17346876515131943,0.04530356413029537,0.035208755773683306
Belarus,2023,24.9979492,16.03235245,15.81830496,4.615120517,4.615120517,13.06736223,0.20258996000000096,0.2232045170000001,0.8509172300000003,0.17238728758901167,0.18992856932912808,0.045218994170849555,0.038477621263245464
Belgium,2019,27.0087542,16.25689896,16.23711454,4.615120517,4.615120517,13.87234022,0.6213995400000005,0.2232045170000001,1.6558952199999997,1.0289725279961994,0.3696032927827088,0.13869918418972235,0.22967131611766076
Belgium,2020,26.99556621,16.26120893,16.24181198,4.615120517,4.615120517,13.86634957,0.6260969800000016,0.2232045170000001,1.6499045700000003,1.0330002685652013,0.36826615264294293,0.1397476740160591,0.2305703260059662
Belgium,2021,27.1176824,16.26532495,16.24631541,4.615120517,4.615120517,13.84347087,0.6306004100000013,0.2232045170000001,1.6270258700000007,1.0260031807026093,0.3631595234598551,0.14075285993405234,0.22900854438918974
